post_title,weight,tax:pwb-brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_color,attribute_data:pa_color
"Sovol SV06 Plus",24,Sovol,simple,,"Características|Características > Cartesiana|Características > Alta Velocidad|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento",,,,
"Base Magnética PEI Texturizada 256X256MM Bambu Lab",1.5,"Bambu Lab",simple,,"Upgrades|Upgrades > PEIs","Bambu Lab|Base Magnetica",,,
"Limpiador de Boquilla Bambu Lab",0.5,"Bambu Lab",simple,,"Repuestos|Repuestos > Hotends",,,,
"Cortador de Filamento Bambu Lab",0.5,"Bambu Lab",simple,,"Repuestos|Repuestos > Hotends",,,,
"Alcohol Isopropílico para impresión 3D",10.5,"Krear 3D",simple,,"Upgrades|Upgrades > Accesorios","Bambu Lab|Goma Liquida",,,
"Comgrow T500",72.03,Comgrow|Sovol,simple,,"Características|Características > Cartesiana|Características > Alta Temperatura|Impresoras 3D|Impresoras 3D > Filamento",,,,
"Servicio de ensamblado y calibración Voron",,,simple,exclude-from-catalog|exclude-from-search,Servicio,,,,
"Servicio de ensamblado y calibración Voron",,,simple,exclude-from-catalog|exclude-from-search,Servicio,,,,
"Film ACF Elegoo 195x290mm",1.5,Elegoo,simple,,"Repuestos|Repuestos > Film FEP",,,,
"Tanque de resina Elegoo Saturn 3 Ultra",3,Elegoo,simple,,"Repuestos|Repuestos > Tanques",,,,
"Termistor de Extrusor Neptune 4 Series",0.1,Elegoo,simple,,"Repuestos|Repuestos > Termistores","Termistor de Extrusor",,,
"Tubo Calefactor Neptune 4 Series",0.1,Elegoo,simple,,"Repuestos|Repuestos > Resistencias","Tubo Calefactor",,,
"Placa Principal Neptune 4",0.5,Elegoo,simple,,"Repuestos|Repuestos > Placas Electrónicas","Elegoo|Placa Principal|Robin Nano",,,
"Boquilla Neptune 4 Series 0.4mm",0.1,Elegoo,simple,,"Repuestos|Repuestos > Boquillas",,,,
"Placa de Transferencia Neptune 4 Series",0.5,Elegoo,simple,,"Repuestos|Repuestos > Placas Electrónicas",,,,
"Kit HotEnd Neptune 4 Series",0.5,Elegoo,simple,,"Repuestos|Repuestos > Hotends",,,,
"Film ACF Phrozen 220x310mm",1.5,Phrozen,simple,,"Repuestos|Repuestos > Film FEP",Phrozen,,,
"12K Upgrade Kit para Sonic Mighty 8K",3,Phrozen,simple,,"Repuestos|Repuestos > Pantallas",,,,
"Secador de Filamento Creality 2.0",3,Creality,simple,,"Upgrades|Upgrades > Accesorios","Secador de Filamento Creality",,,
"Camara IA K1 Series",1.5,Creality,simple,,"Upgrades|Upgrades > Accesorios","Secador de Filamento Creality",,,
"Servicio de ensamblado y calibración FDM",,,simple,exclude-from-catalog|exclude-from-search,Servicio,,,,
"Base Magnética PEI K1",1.5,Creality,simple,,"Upgrades|Upgrades > PEIs","Plataforma Magnetica Flexible|Plataforma Magnetica Flexible 235x235mm",,,
"Base Magnética PEI K1 Max",3,Creality,simple,,"Upgrades|Upgrades > PEIs","Plataforma Magnetica Flexible|Plataforma Magnetica Flexible 235x235mm",,,
"Kit de Sellado al vacío para filamentos",1.5,Creality,simple,,"Upgrades|Upgrades > Accesorios","Plataforma Magnetica Flexible|Plataforma Magnetica Flexible 235x235mm",,,
"Two Trees TS2-20W",15,"Two Trees",simple,,"Cortadoras Láser|Cortadoras Láser > Diodo",,,,
"Two Trees TTS-20 Pro 20W",15,"Two Trees",simple,,"Cortadoras Láser|Cortadoras Láser > Diodo",,,,
"Kit Husillo de Alta Velocidad 500W",5,"Two Trees",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Módulo Láser Circular de 5.5 para CNC 3018 Pro",3,"Two Trees",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Pinza ER11 6mm para CNC",0.5,"Two Trees",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Pinza ER11 3.175mm para CNC",0.5,"Two Trees",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Set de 40 Fresas para CNC",1.5,"Two Trees",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Kit de Asistencia de Aire para Laser",4,"Two Trees",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Kit de extensión para Láser TS2",4,"Two Trees",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Funda Protectora para Cortadora Láser",4,"Two Trees",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Accesorio Giratorio 4 en 1 TR2 Pro",5,"Two Trees",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Módulo Láser de 30W para TS2",4,"Two Trees",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Panel Hexagonal para Cortadora Laser 500x500mm",5,"Two Trees",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Módulo Láser Infrarrojo para Metales TS2",4,"Two Trees",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Tarjetas de Presentación de bambú X10",1.5,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades",,,,
"Tarjetas de Presentación de Aluminio X100",3,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades",,,,
"Set de Materiales para Grabado Láser X75",5,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades",,,,
"Set de Placas para Perro X20",1.5,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades",,,,
"Set de Placas para Perro en Acero Inoxidable X20",1.5,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades",,,,
"Set de Placas para Gato en Acero Inoxidable X20",1.5,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades",,,,
"Placa de Fibra de Carbono para CNC",1.5,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades",,,,
"Placa de Baquelita para CNC",1.5,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades",,,,
"Disco de Pino para Grabado Láser X2",1.5,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades",,,,
"Aguja Limpiador de Boquillas 0.2mm X5",0.1,"Krear 3D",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Cepillo con Cerdas de Metal",0.1,"Krear 3D",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Pinza de Corte",0.1,"Krear 3D",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Triplay para Láser y CNC X5",1.5,"Krear 3D",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Llave Multiusos",0.5,"Krear 3D",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Llave en Cruz Multiusos",0.5,"Krear 3D",simple,,"Upgrades|Upgrades > Accesorios",,,,
"Set de Llaveros para Grabado en Madera Circular X10",1,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades","Set de Llaveros para Grabado en Madera Circular X10",,,
"Set de Llaveros para Grabado en Madera Rectangular X10",1,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades","Set de Llaveros para Grabado en Madera Rectangular",,,
"Set de Llaveros para Grabado en Madera Cuadrada X10",1,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades","Set de Llaveros para Grabado en Madera Cuadrada X10",,,
"Set de Llaveros para Grabado en Madera Corazón X10",1,"Krear 3D",simple,,"Upgrades > Materiales|Upgrades","Set de Llaveros para Grabado en Madera Corazón",,,
